,place,tw_visit,ym
0,(NHM)_SOUTH_KENSINGTON,687.0,2014_01
1,(NHM)_SOUTH_KENSINGTON,751.0,2014_02
2,(NHM)_SOUTH_KENSINGTON,744.0,2014_03
3,(NHM)_SOUTH_KENSINGTON,689.0,2014_04
4,(NHM)_SOUTH_KENSINGTON,660.0,2014_05
5,(NHM)_SOUTH_KENSINGTON,705.0,2014_06
6,(NHM)_SOUTH_KENSINGTON,697.0,2014_07
7,(NHM)_SOUTH_KENSINGTON,706.0,2014_08
8,(NHM)_SOUTH_KENSINGTON,565.0,2014_09
9,(NHM)_SOUTH_KENSINGTON,600.0,2014_10
10,(NHM)_SOUTH_KENSINGTON,700.0,2014_11
11,(NHM)_SOUTH_KENSINGTON,705.0,2014_12
12,(NHM)_SOUTH_KENSINGTON,630.0,2015_01
13,(NHM)_SOUTH_KENSINGTON,644.0,2015_02
14,(NHM)_SOUTH_KENSINGTON,648.0,2015_03
15,(NHM)_SOUTH_KENSINGTON,593.0,2015_04
16,(NHM)_SOUTH_KENSINGTON,378.0,2015_05
17,(NHM)_SOUTH_KENSINGTON,408.0,2015_06
18,(NHM)_SOUTH_KENSINGTON,424.0,2015_07
19,(NHM)_SOUTH_KENSINGTON,475.0,2015_08
20,(NHM)_SOUTH_KENSINGTON,495.0,2015_09
21,(NHM)_SOUTH_KENSINGTON,507.0,2015_10
22,(NHM)_SOUTH_KENSINGTON,613.0,2015_11
23,(NHM)_SOUTH_KENSINGTON,560.0,2015_12
24,(NHM)_SOUTH_KENSINGTON,435.0,2016_01
25,(NHM)_SOUTH_KENSINGTON,419.0,2016_02
26,(NHM)_SOUTH_KENSINGTON,391.0,2016_03
27,(NHM)_SOUTH_KENSINGTON,430.0,2016_04
28,(NHM)_SOUTH_KENSINGTON,294.0,2016_05
29,(NHM)_SOUTH_KENSINGTON,341.0,2016_06
30,(NHM)_SOUTH_KENSINGTON,381.0,2016_07
31,(NHM)_SOUTH_KENSINGTON,376.0,2016_08
32,(NHM)_TRING,4.0,2014_01
33,(NHM)_TRING,4.0,2014_02
34,(NHM)_TRING,4.0,2014_03
35,(NHM)_TRING,5.0,2014_04
36,(NHM)_TRING,6.0,2014_05
37,(NHM)_TRING,4.0,2014_06
38,(NHM)_TRING,4.0,2014_07
39,(NHM)_TRING,7.0,2014_08
40,(NHM)_TRING,4.0,2014_09
41,(NHM)_TRING,5.0,2014_10
42,(NHM)_TRING,5.0,2014_11
43,(NHM)_TRING,3.0,2014_12
44,(NHM)_TRING,5.0,2015_01
45,(NHM)_TRING,2.0,2015_02
46,(NHM)_TRING,2.0,2015_03
47,(NHM)_TRING,5.0,2015_04
48,(NHM)_TRING,2.0,2015_05
49,(NHM)_TRING,2.0,2015_06
50,(NHM)_TRING,3.0,2015_07
51,(NHM)_TRING,2.0,2015_08
52,(NHM)_TRING,3.0,2015_09
53,(NHM)_TRING,7.0,2015_10
54,(NHM)_TRING,3.0,2015_11
55,(NHM)_TRING,3.0,2015_12
56,(NHM)_TRING,2.0,2016_01
57,(NHM)_TRING,4.0,2016_02
58,(NHM)_TRING,5.0,2016_03
59,(NHM)_TRING,6.0,2016_04
60,(NHM)_TRING,0.0,2016_05
61,(NHM)_TRING,0.0,2016_06
62,(NHM)_TRING,1.0,2016_07
63,(NHM)_TRING,4.0,2016_08
64,(RA)_FORT_NELSON,1.0,2014_02
65,(RA)_FORT_NELSON,1.0,2014_03
66,(RA)_FORT_NELSON,2.0,2014_04
67,(RA)_FORT_NELSON,1.0,2014_05
68,(RA)_FORT_NELSON,1.0,2014_06
69,(RA)_FORT_NELSON,0.0,2014_07
70,(RA)_FORT_NELSON,3.0,2014_08
71,(RA)_FORT_NELSON,3.0,2014_09
72,(RA)_FORT_NELSON,1.0,2014_10
73,(RA)_FORT_NELSON,1.0,2014_11
74,(RA)_FORT_NELSON,0.0,2014_12
75,(RA)_FORT_NELSON,1.0,2015_01
76,(RA)_FORT_NELSON,2.0,2015_02
77,(RA)_FORT_NELSON,1.0,2015_03
78,(RA)_FORT_NELSON,2.0,2015_04
79,(RA)_FORT_NELSON,1.0,2015_05
80,(RA)_FORT_NELSON,3.0,2015_06
81,(RA)_FORT_NELSON,0.0,2015_07
82,(RA)_FORT_NELSON,2.0,2015_08
83,(RA)_FORT_NELSON,1.0,2015_09
84,(RA)_FORT_NELSON,3.0,2015_10
85,(RA)_FORT_NELSON,2.0,2015_11
86,(RA)_FORT_NELSON,0.0,2015_12
87,(RA)_FORT_NELSON,2.0,2016_01
88,(RA)_FORT_NELSON,2.0,2016_02
