,fl_visit,place,ym
0,44.0,(NHM)_SOUTH_KENSINGTON,2014_01
1,48.0,(NHM)_SOUTH_KENSINGTON,2014_02
2,48.0,(NHM)_SOUTH_KENSINGTON,2014_03
3,49.0,(NHM)_SOUTH_KENSINGTON,2014_04
4,40.0,(NHM)_SOUTH_KENSINGTON,2014_05
5,29.0,(NHM)_SOUTH_KENSINGTON,2014_06
6,48.0,(NHM)_SOUTH_KENSINGTON,2014_07
7,63.0,(NHM)_SOUTH_KENSINGTON,2014_08
8,41.0,(NHM)_SOUTH_KENSINGTON,2014_09
9,41.0,(NHM)_SOUTH_KENSINGTON,2014_10
10,54.0,(NHM)_SOUTH_KENSINGTON,2014_11
11,42.0,(NHM)_SOUTH_KENSINGTON,2014_12
12,51.0,(NHM)_SOUTH_KENSINGTON,2015_01
13,50.0,(NHM)_SOUTH_KENSINGTON,2015_02
14,43.0,(NHM)_SOUTH_KENSINGTON,2015_03
15,47.0,(NHM)_SOUTH_KENSINGTON,2015_04
16,42.0,(NHM)_SOUTH_KENSINGTON,2015_05
17,40.0,(NHM)_SOUTH_KENSINGTON,2015_06
18,46.0,(NHM)_SOUTH_KENSINGTON,2015_07
19,47.0,(NHM)_SOUTH_KENSINGTON,2015_08
20,37.0,(NHM)_SOUTH_KENSINGTON,2015_09
21,34.0,(NHM)_SOUTH_KENSINGTON,2015_10
22,34.0,(NHM)_SOUTH_KENSINGTON,2015_11
23,41.0,(NHM)_SOUTH_KENSINGTON,2015_12
24,18.0,(NHM)_SOUTH_KENSINGTON,2016_01
25,20.0,(NHM)_SOUTH_KENSINGTON,2016_02
26,28.0,(NHM)_SOUTH_KENSINGTON,2016_03
27,25.0,(NHM)_SOUTH_KENSINGTON,2016_04
28,15.0,(NHM)_SOUTH_KENSINGTON,2016_05
29,27.0,(NHM)_SOUTH_KENSINGTON,2016_06
30,23.0,(NHM)_SOUTH_KENSINGTON,2016_07
31,16.0,(NHM)_SOUTH_KENSINGTON,2016_08
32,1.0,(NHM)_TRING,2014_01
33,0.0,(NHM)_TRING,2014_02
34,0.0,(NHM)_TRING,2014_03
35,0.0,(NHM)_TRING,2014_04
36,0.0,(NHM)_TRING,2014_05
37,0.0,(NHM)_TRING,2014_06
38,0.0,(NHM)_TRING,2014_07
39,1.0,(NHM)_TRING,2014_08
40,0.0,(NHM)_TRING,2014_09
41,1.0,(NHM)_TRING,2014_10
42,0.0,(NHM)_TRING,2014_11
43,1.0,(NHM)_TRING,2014_12
44,0.0,(NHM)_TRING,2015_01
45,0.0,(NHM)_TRING,2015_02
46,0.0,(NHM)_TRING,2015_03
47,0.0,(NHM)_TRING,2015_04
48,0.0,(NHM)_TRING,2015_05
49,0.0,(NHM)_TRING,2015_06
50,0.0,(NHM)_TRING,2015_07
51,2.0,(NHM)_TRING,2015_08
52,0.0,(NHM)_TRING,2015_09
53,0.0,(NHM)_TRING,2015_10
54,0.0,(NHM)_TRING,2015_11
55,0.0,(NHM)_TRING,2015_12
56,0.0,(NHM)_TRING,2016_01
57,1.0,(NHM)_TRING,2016_02
58,1.0,(NHM)_TRING,2016_03
59,1.0,(NHM)_TRING,2016_04
60,0.0,(NHM)_TRING,2016_05
61,0.0,(NHM)_TRING,2016_06
62,0.0,(NHM)_TRING,2016_07
63,0.0,(NHM)_TRING,2016_08
64,0.0,(RA)_FORT_NELSON,2014_01
65,0.0,(RA)_FORT_NELSON,2014_02
66,0.0,(RA)_FORT_NELSON,2014_03
67,2.0,(RA)_FORT_NELSON,2014_04
68,1.0,(RA)_FORT_NELSON,2014_05
69,0.0,(RA)_FORT_NELSON,2014_06
70,4.0,(RA)_FORT_NELSON,2014_07
71,2.0,(RA)_FORT_NELSON,2014_08
72,0.0,(RA)_FORT_NELSON,2014_09
73,0.0,(RA)_FORT_NELSON,2014_10
74,2.0,(RA)_FORT_NELSON,2014_11
75,1.0,(RA)_FORT_NELSON,2014_12
76,0.0,(RA)_FORT_NELSON,2015_01
77,1.0,(RA)_FORT_NELSON,2015_02
78,0.0,(RA)_FORT_NELSON,2015_03
79,0.0,(RA)_FORT_NELSON,2015_04
80,1.0,(RA)_FORT_NELSON,2015_05
81,1.0,(RA)_FORT_NELSON,2015_06
82,2.0,(RA)_FORT_NELSON,2015_07
83,1.0,(RA)_FORT_NELSON,2015_08
84,0.0,(RA)_FORT_NELSON,2015_09
85,1.0,(RA)_FORT_NELSON,2015_10
86,0.0,(RA)_FORT_NELSON,2015_11
87,1.0,(RA)_FORT_NELSON,2015_12
88,0.0,(RA)_FORT_NELSON,2016_01
89,0.0,(RA)_FORT_NELSON,2016_02
90,0.0,(RA)_FORT_NELSON,2016_03
91,1.0,(RA)_FORT_NELSON,2016_04
92,3.0,(RA)_FORT_NELSON,2016_05
93,0.0,(RA)_FORT_NELSON,2016_06
94,1.0,(RA)_FORT_NELSON,2016_07
95,0.0,(RA)_FORT_NELSON,2016_08
96,0.0,(RA)_LEEDS,2014_01
97,2.0,(RA)_LEEDS,2014_02
98,6.0,(RA)_LEEDS,2014_03
99,6.0,(RA)_LEEDS,2014_04
100,4.0,(RA)_LEEDS,2014_05
101,4.0,(RA)_LEEDS,2014_06
102,3.0,(RA)_LEEDS,2014_07
103,2.0,(RA)_LEEDS,2014_08
104,2.0,(RA)_LEEDS,2014_09
105,1.0,(RA)_LEEDS,2014_10
106,1.0,(RA)_LEEDS,2014_11
107,1.0,(RA)_LEEDS,2014_12
108,2.0,(RA)_LEEDS,2015_01
109,6.0,(RA)_LEEDS,2015_02
110,4.0,(RA)_LEEDS,2015_03
111,0.0,(RA)_LEEDS,2015_04
112,5.0,(RA)_LEEDS,2015_05
113,2.0,(RA)_LEEDS,2015_06
114,1.0,(RA)_LEEDS,2015_07
115,0.0,(RA)_LEEDS,2015_08
116,4.0,(RA)_LEEDS,2015_09
117,3.0,(RA)_LEEDS,2015_10
118,3.0,(RA)_LEEDS,2015_11
119,1.0,(RA)_LEEDS,2015_12
120,3.0,(RA)_LEEDS,2016_01
121,0.0,(RA)_LEEDS,2016_02
122,3.0,(RA)_LEEDS,2016_03
123,2.0,(RA)_LEEDS,2016_04
124,4.0,(RA)_LEEDS,2016_05
125,2.0,(RA)_LEEDS,2016_06
126,0.0,(RA)_LEEDS,2016_07
127,2.0,(RA)_LEEDS,2016_08
128,9.0,(RA)_WHITE_TOWER,2014_01
129,18.0,(RA)_WHITE_TOWER,2014_02
130,19.0,(RA)_WHITE_TOWER,2014_03
131,17.0,(RA)_WHITE_TOWER,2014_04
132,20.0,(RA)_WHITE_TOWER,2014_05
133,12.0,(RA)_WHITE_TOWER,2014_06
134,20.0,(RA)_WHITE_TOWER,2014_07
135,43.0,(RA)_WHITE_TOWER,2014_08
136,30.0,(RA)_WHITE_TOWER,2014_09
137,39.0,(RA)_WHITE_TOWER,2014_10
138,68.0,(RA)_WHITE_TOWER,2014_11
139,12.0,(RA)_WHITE_TOWER,2014_12
140,3.0,(RA)_WHITE_TOWER,2015_01
141,9.0,(RA)_WHITE_TOWER,2015_02
142,8.0,(RA)_WHITE_TOWER,2015_03
143,10.0,(RA)_WHITE_TOWER,2015_04
144,14.0,(RA)_WHITE_TOWER,2015_05
145,12.0,(RA)_WHITE_TOWER,2015_06
146,14.0,(RA)_WHITE_TOWER,2015_07
147,15.0,(RA)_WHITE_TOWER,2015_08
148,9.0,(RA)_WHITE_TOWER,2015_09
