,fl_visit,place,ym
0,44.0,(NHM)_SOUTH_KENSINGTON,2014_01
1,52.0,(NHM)_SOUTH_KENSINGTON,2014_02
2,52.0,(NHM)_SOUTH_KENSINGTON,2014_03
3,50.0,(NHM)_SOUTH_KENSINGTON,2014_04
4,42.0,(NHM)_SOUTH_KENSINGTON,2014_05
5,30.0,(NHM)_SOUTH_KENSINGTON,2014_06
6,49.0,(NHM)_SOUTH_KENSINGTON,2014_07
7,65.0,(NHM)_SOUTH_KENSINGTON,2014_08
8,41.0,(NHM)_SOUTH_KENSINGTON,2014_09
9,42.0,(NHM)_SOUTH_KENSINGTON,2014_10
10,56.0,(NHM)_SOUTH_KENSINGTON,2014_11
11,42.0,(NHM)_SOUTH_KENSINGTON,2014_12
12,52.0,(NHM)_SOUTH_KENSINGTON,2015_01
13,51.0,(NHM)_SOUTH_KENSINGTON,2015_02
14,44.0,(NHM)_SOUTH_KENSINGTON,2015_03
15,48.0,(NHM)_SOUTH_KENSINGTON,2015_04
16,42.0,(NHM)_SOUTH_KENSINGTON,2015_05
17,40.0,(NHM)_SOUTH_KENSINGTON,2015_06
18,46.0,(NHM)_SOUTH_KENSINGTON,2015_07
19,47.0,(NHM)_SOUTH_KENSINGTON,2015_08
20,37.0,(NHM)_SOUTH_KENSINGTON,2015_09
21,34.0,(NHM)_SOUTH_KENSINGTON,2015_10
22,35.0,(NHM)_SOUTH_KENSINGTON,2015_11
23,41.0,(NHM)_SOUTH_KENSINGTON,2015_12
24,19.0,(NHM)_SOUTH_KENSINGTON,2016_01
25,21.0,(NHM)_SOUTH_KENSINGTON,2016_02
26,28.0,(NHM)_SOUTH_KENSINGTON,2016_03
27,28.0,(NHM)_SOUTH_KENSINGTON,2016_04
28,17.0,(NHM)_SOUTH_KENSINGTON,2016_05
29,27.0,(NHM)_SOUTH_KENSINGTON,2016_06
30,24.0,(NHM)_SOUTH_KENSINGTON,2016_07
31,16.0,(NHM)_SOUTH_KENSINGTON,2016_08
32,1.0,(NHM)_TRING,2014_01
33,0.0,(NHM)_TRING,2014_02
34,0.0,(NHM)_TRING,2014_03
35,0.0,(NHM)_TRING,2014_04
